Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,1233,Research & Development,27,4,Medical,1,1,3,Male,50,4,5,Research Director,1.0,Divorced,8497.0,9296,2,Y,No,16,3,3,80,3,13,1,3,8,6,12,2
46,No,Non-Travel,632,Sales,26,3,Life Sciences,1,2,4,Male,59,3,4,Manager,1.0,Single,8215.0,9794,3,Y,Yes,23,3,4,80,3,8,1,1,6,4,6,10
32,No,Travel_Frequently,511,Research & Development,25,5,Life Sciences,1,3,3,Female,62,3,3,Sales Representative,2.0,Divorced,10689.0,6812,1,Y,No,16,3,3,80,0,17,5,2,15,3,9,5
60,No,Travel_Rarely,1421,Research & Development,13,4,Life Sciences,1,4,4,Female,77,3,1,Sales Executive,4.0,Divorced,8947.0,8044,7,Y,No,11,3,4,80,0,7,1,1,27,2,7,13
25,No,Travel_Rarely,919,Sales,5,1,Life Sciences,1,5,1,Male,51,2,5,Laboratory Technician,4.0,Divorced,19354.0,12327,5,Y,No,23,3,3,80,0,37,4,2,6,7,10,16
38,Yes,Travel_Frequently,1296,Research & Development,6,4,Life Sciences,1,6,4,Female,83,4,2,Sales Executive,1.0,Single,6967.0,16265,2,Y,No,19,3,2,80,1,14,2,1,13,4,12,2
56,No,Travel_Frequently,1456,Sales,1,3,Life Sciences,1,7,1,Female,33,3,3,Sales Executive,1.0,Divorced,16779.0,12820,4,Y,No,18,3,3,80,2,14,6,3,31,4,2,3
36,Yes,Travel_Frequently,594,Research & Development,6,2,Medical,1,8,4,Male,84,2,2,Sales Executive,2.0,Married,7644.0,19233,4,Y,Yes,12,3,3,80,1,5,0,4,7,16,2,8
40,No,Travel_Rarely,1320,Sales,18,2,Life Sciences,1,9,3,Male,73,4,5,Manufacturing Director,1.0,Married,9638.0,2239,0,Y,Yes,12,3,2,80,2,11,1,1,26,14,13,12
28,No,Travel_Rarely,113,Research & Development,22,2,Medical,1,10,1,Male,41,2,4,Sales Representative,2.0,Divorced,18175.0,23594,4,Y,Yes,15,3,4,80,3,18,6,1,2,7,5,5
28,Yes,Travel_Rarely,296,Research & Development,9,1,Medical,1,11,3,Female,81,3,1,Sales Representative,3.0,Single,13878.0,14108,5,Y,No,20,3,3,80,2,39,4,4,26,6,15,9
41,No,Travel_Rarely,591,Research & Development,24,3,Other,1,12,1,Female,94,3,1,Healthcare Representative,1.0,Married,17612.0,22052,9,Y,Yes,12,3,1,80,0,4,4,4,29,16,14,12
53,No,Travel_Frequently,896,Research & Development,25,5,Life Sciences,1,13,4,Male,94,1,3,Manager,3.0,Divorced,10228.0,23401,9,Y,Yes,21,3,1,80,1,26,5,1,33,11,1,13
57,Yes,Travel_Frequently,982,Research & Development,29,2,Life Sciences,1,14,4,Female,39,1,1,Research Scientist,1.0,Divorced,9038.0,3952,1,Y,No,11,3,3,80,0,9,1,1,25,3,5,11
41,No,Travel_Rarely,283,Sales,15,3,Medical,1,15,4,Male,47,4,4,Healthcare Representative,1.0,Divorced,17281.0,6816,2,Y,Yes,12,3,3,80,3,13,6,1,36,17,4,12
20,No,Travel_Frequently,1063,Research & Development,26,4,Medical,1,16,2,Male,76,2,2,Sales Representative,3.0,Single,17682.0,5692,9,Y,Yes,15,3,3,80,1,33,6,2,39,3,13,9
39,No,Travel_Rarely,757,Sales,8,1,Medical,1,17,2,Female,95,2,4,Human Resources,3.0,Married,17772.0,15677,4,Y,No,21,3,4,80,1,14,5,1,21,9,6,6
19,No,Travel_Rarely,1441,Research & Development,19,3,Life Sciences,1,18,1,Female,78,3,3,Manager,2.0,Single,13174.0,16963,2,Y,No,20,3,2,80,0,28,6,1,31,2,14,4
41,No,Travel_Rarely,795,Sales,24,3,Marketing,1,19,2,Male,51,3,3,Manufacturing Director,2.0,Divorced,12052.0,19107,4,Y,No,24,3,1,80,1,25,3,4,40,4,8,11
47,No,Non-Travel,131,Research & Development,16,5,Life Sciences,1,20,4,Male,55,4,1,Laboratory Technician,3.0,Single,10579.0,17310,4,Y,Yes,17,3,1,80,0,26,3,4,1,11,8,1
55,No,Travel_Rarely,1221,Human Resources,6,3,Life Sciences,1,21,2,Female,38,1,4,Human Resources,1.0,Married,7895.0,13452,7,Y,No,15,3,4,80,2,2,3,2,7,4,0,7
19,No,Non-Travel,879,Human Resources,29,5,Life Sciences,1,22,2,Male,50,3,2,Sales Representative,2.0,Married,2967.0,5612,9,Y,Yes,11,3,3,80,3,2,1,2,6,4,6,7
38,No,Travel_Frequently,545,Research & Development,6,1,Life Sciences,1,23,3,Female,92,2,4,Manager,1.0,Divorced,11328.0,25036,8,Y,No,17,3,3,80,0,34,4,3,18,3,2,4
50,No,Travel_Rarely,399,Sales,22,1,Other,1,24,1,Male,35,3,2,Sales Representative,4.0,Married,3192.0,6446,7,Y,No,16,3,2,80,3,34,4,1,32,5,3,7
29,No,Travel_Rarely,909,Research & Development,3,4,Medical,1,25,1,Male,43,1,2,Research Director,2.0,Married,4783.0,14200,2,Y,No,17,3,2,80,1,5,0,1,1,9,1,9
39,Yes,Travel_Frequently,946,Research & Development,10,5,Medical,1,26,1,Male,62,2,4,Healthcare Representative,2.0,Married,15281.0,9523,0,Y,No,12,4,1,80,3,13,6,4,2,5,0,12
42,No,Travel_Rarely,1117,Sales,1,5,Marketing,1,27,2,Male,53,1,5,Laboratory Technician,2.0,Married,1786.0,11190,2,Y,No,15,4,2,80,3,25,3,3,27,0,9,8
44,No,Non-Travel,1486,Human Resources,28,2,Other,1,28,4,Female,80,4,4,Laboratory Technician,4.0,Married,3575.0,7649,0,Y,No,24,3,1,80,3,2,1,1,13,15,13,6
59,No,Non-Travel,1499,Research & Development,14,2,Medical,1,29,3,Male,31,4,2,Research Scientist,3.0,Single,11104.0,10091,8,Y,No,18,4,4,80,1,32,0,3,14,10,15,10
45,No,Travel_Rarely,655,Human Resources,4,4,Life Sciences,1,30,1,Male,44,1,3,Research Director,1.0,Married,11962.0,12903,2,Y,No,23,3,3,80,2,12,4,2,20,5,2,7
33,Yes,Travel_Rarely,404,Research & Development,26,1,Other,1,31,2,Male,64,2,3,Sales Executive,4.0,Divorced,8413.0,18585,7,Y,Yes,22,4,3,80,2,28,6,1,13,17,9,15
32,No,Non-Travel,522,Research & Development,12,2,Life Sciences,1,32,4,Male,65,1,1,Research Director,3.0,Single,1087.0,11962,5,Y,No,17,3,1,80,2,8,6,1,39,5,8,9
20,No,Travel_Rarely,1371,Research & Development,6,3,Life Sciences,1,33,3,Female,68,3,3,Laboratory Technician,2.0,Single,2590.0,23976,2,Y,Yes,16,4,3,80,0,31,0,2,17,16,0,5
54,No,Travel_Rarely,1362,Sales,11,1,Life Sciences,1,34,3,Female,33,3,5,Human Resources,3.0,Married,15075.0,22733,8,Y,No,23,3,4,80,0,21,3,1,38,11,14,9
24,No,Travel_Rarely,286,Research & Development,12,3,Other,1,35,1,Male,93,1,2,Research Scientist,3.0,Divorced,8976.0,6289,7,Y,No,16,3,2,80,1,21,6,2,19,16,2,9
38,No,Travel_Rarely,569,Research & Development,10,5,Medical,1,36,1,Female,35,3,4,Human Resources,3.0,Single,8848.0,10550,2,Y,No,22,3,4,80,2,33,6,2,0,17,10,3
26,No,Non-Travel,855,Sales,18,1,Marketing,1,37,4,Female,86,1,4,Manager,1.0,Divorced,3171.0,5915,6,Y,No,11,3,3,80,3,9,6,3,8,9,4,2
56,Yes,Travel_Frequently,464,Research & Development,7,4,Life Sciences,1,38,2,Female,59,3,5,Sales Executive,3.0,Divorced,18878.0,19154,4,Y,No,11,3,4,80,2,24,2,4,8,11,2,16
35,No,Travel_Rarely,1408,Research & Development,7,5,Human Resources,1,39,4,Male,96,1,3,Healthcare Representative,3.0,Single,14922.0,13772,1,Y,Yes,17,4,3,80,0,11,3,4,37,3,3,13
21,No,Travel_Rarely,437,Research & Development,11,5,Medical,1,40,1,Male,44,3,2,Human Resources,3.0,Single,1973.0,7272,7,Y,No,13,3,1,80,1,2,3,2,38,9,3,9
42,No,Travel_Rarely,263,Research & Development,4,3,Other,1,41,4,Male,46,2,3,Manager,3.0,Married,11748.0,12992,0,Y,No,16,3,2,80,2,18,1,3,28,4,0,5
31,Yes,Travel_Frequently,1285,Sales,20,5,Medical,1,42,2,Female,47,2,1,Sales Representative,4.0,Divorced,3682.0,7660,3,Y,No,22,3,2,80,0,32,2,2,14,3,15,15
26,No,Travel_Rarely,1447,Human Resources,1,2,Life Sciences,1,43,3,Female,48,3,3,Manufacturing Director,4.0,Married,6302.0,22447,3,Y,No,15,3,3,80,0,25,6,3,19,15,5,8
43,No,Travel_Rarely,113,Sales,13,1,Marketing,1,44,3,Male,98,1,1,Sales Executive,3.0,Married,2727.0,7514,9,Y,Yes,13,4,3,80,3,12,5,3,37,4,10,11
19,No,Travel_Rarely,1198,Research & Development,18,2,Medical,1,45,3,Male,53,3,4,Healthcare Representative,3.0,Single,11633.0,2701,4,Y,No,16,4,2,80,2,6,2,4,40,18,11,11
37,No,Travel_Rarely,689,Research & Development,9,3,Human Resources,1,46,3,Male,77,4,2,Research Scientist,3.0,Married,2237.0,7768,3,Y,No,13,3,4,80,3,33,2,4,29,5,6,13
45,Yes,Non-Travel,302,Research & Development,26,3,Medical,1,47,1,Male,59,4,1,Research Director,2.0,Married,11611.0,24366,0,Y,Yes,18,3,4,80,2,21,4,3,25,6,11,1
24,No,Travel_Rarely,623,Sales,24,1,Marketing,1,48,1,Female,44,1,3,Manufacturing Director,3.0,Married,2849.0,23810,6,Y,No,24,3,4,80,1,19,0,4,5,9,6,9
25,No,Travel_Rarely,606,Research & Development,24,5,Medical,1,49,2,Male,76,3,3,Sales Executive,3.0,Married,17890.0,25834,9,Y,No,17,3,2,80,2,22,4,3,38,6,12,3
52,Yes,Travel_Rarely,889,Research & Development,9,4,Life Sciences,1,50,2,Male,73,3,4,Sales Representative,4.0,Single,17929.0,25264,1,Y,Yes,19,3,1,80,3,13,5,1,16,13,5,5
31,No,Non-Travel,1164,Sales,23,3,Life Sciences,1,51,2,Female,56,2,5,Research Scientist,4.0,Married,8133.0,4488,9,Y,No,15,3,3,80,3,29,2,2,5,9,6,12
34,Yes,Travel_Rarely,161,Research & Development,29,1,Other,1,52,2,Male,93,1,5,Laboratory Technician,4.0,Single,10365.0,13145,2,Y,Yes,22,3,3,80,0,22,1,4,27,10,13,13
53,No,Travel_Rarely,679,Human Resources,9,4,Other,1,53,4,Female,70,4,3,Human Resources,1.0,Single,19364.0,10164,4,Y,Yes,11,3,2,80,2,18,5,2,8,13,2,3
57,Yes,Travel_Rarely,422,Human Resources,10,5,Life Sciences,1,54,2,Male,97,4,5,Human Resources,2.0,Divorced,8596.0,23627,7,Y,No,21,3,1,80,2,38,6,4,26,11,4,9
21,No,Travel_Frequently,1024,Sales,28,3,Marketing,1,55,3,Male,34,1,2,Research Scientist,3.0,Single,4536.0,24767,9,Y,No,20,3,2,80,1,40,3,2,34,3,13,9
19,Yes,Travel_Rarely,670,Sales,2,1,Other,1,56,3,Male,82,4,5,Laboratory Technician,4.0,Married,1308.0,12133,7,Y,Yes,21,3,4,80,0,35,6,2,5,12,15,4
23,No,Travel_Rarely,1203,Research & Development,6,1,Technical Degree,1,57,3,Female,37,1,2,Human Resources,1.0,Single,19779.0,4115,1,Y,No,18,3,4,80,3,5,3,4,3,2,13,3
59,No,Travel_Rarely,1319,Research & Development,15,1,Medical,1,58,4,Male,51,4,3,Sales Executive,3.0,Single,13599.0,26262,8,Y,Yes,12,4,3,80,2,22,4,4,15,12,6,11
21,No,Travel_Frequently,1410,Sales,3,3,Other,1,59,2,Male,36,4,3,Research Scientist,3.0,Married,4972.0,23076,5,Y,No,16,3,3,80,0,9,6,4,22,18,9,13
46,No,Travel_Rarely,628,Sales,11,4,Technical Degree,1,60,3,Female,51,1,3,Research Scientist,4.0,Single,5696.0,21493,8,Y,No,11,3,3,80,1,34,5,4,22,14,4,6
